ACTION, TIME, APPLICATION
mouse_click,2020-04-10 17:30:58,main.py - productivty-tracker-analytics - Visual Studio Code
mouse_click,2020-04-10 17:30:58,main.py - productivty-tracker-analytics - Visual Studio Code
mouse_click,2020-04-10 17:31:00,main.py - productivty-tracker-analytics - Visual Studio Code
mouse_click,2020-04-10 17:31:00,None
mouse_click,2020-04-10 17:31:01,None
mouse_click,2020-04-10 17:31:01,None
mouse_click,2020-04-10 17:31:01,None
mouse_click,2020-04-10 17:31:01,None
mouse_click,2020-04-10 17:31:02,Spotify Premium
mouse_click,2020-04-10 17:31:02,Spotify Premium
mouse_click,2020-04-10 17:31:02,Spotify Premium
mouse_click,2020-04-10 17:31:02,Spotify Premium
mouse_click,2020-04-10 17:31:03,Spotify Premium
mouse_click,2020-04-10 17:31:03,Spotify Premium
mouse_click,2020-04-10 17:31:04,Spotify Premium
mouse_click,2020-04-10 17:31:04,Spotify Premium
mouse_click,2020-04-10 17:31:05,#clemson-stream-plugs - Discord
mouse_click,2020-04-10 17:31:05,#clemson-stream-plugs - Discord
mouse_click,2020-04-10 17:31:07,#clemson-stream-plugs - Discord
mouse_click,2020-04-10 17:31:07,#clemson-stream-plugs - Discord
mouse_click,2020-04-10 17:31:08,main.py - productivty-tracker-analytics - Visual Studio Code
mouse_click,2020-04-10 17:31:08,main.py - productivty-tracker-analytics - Visual Studio Code
keypress,2020-04-10 17:31:08,main.py - productivty-tracker-analytics - Visual Studio Code
keypress,2020-04-10 17:31:09,main.py - productivty-tracker-analytics - Visual Studio Code
